smiles,property
Oc1ccc(NC2=C(C(=O)NC2=O)c3ccccc3[N+](=O)[O-])cc1Cl,7.05
CN(C)Cc1c(nnn1c2nonc2N)c3n[nH]c(n3)c4ccncc4,5.16
CCN(CC)Cc1c(nnn1c2nonc2N)C(=O)N\N=C\c3ccncc3,6.39
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,7.27
NNC(=O)c1nnn(c1CN2CCCCC2)c3nonc3N,5.02
Nc1nonc1n2nnc(C(=O)N\N=C\c3ccncc3)c2CN4CCCCC4,7.0
Nc1nonc1n2nnc(C(=O)NCCc3ccncc3)c2CN4CCCCC4,4.24
Nc1nonc1n2nnc(C(=O)NCc3ccncc3)c2CN4CCCCC4,5.03
Nc1nonc1n2nnc(c2CN3CCCC3)c4n[nH]c(n4)c5ccncc5,6.62
Nc1nonc1n2nnc(C(=O)N\N=C\c3ccncc3)c2CN4CCCC4,7.0
Nc1nonc1n2nnc(C(=O)NCCc3ccncc3)c2CN4CCCC4,5.68
CCN(CC)Cc1c(nnn1c2nonc2N)C(=O)NN,4.77
CCN(CC)Cc1c(nnn1c2nonc2N)C(=O)NCCc3ccncc3,4.93
Nc1nonc1n2nnc(c2CN3CCCCC3)c4n[nH]c(n4)c5ccncc5,6.55
COc1ccccc1C2=C(C(=O)NC2=O)c3cn(CCCO)c4ncccc34,8.4
CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3cccc4ccccc34)c5cccnc15,6.85
OCCCn1cc(C2=C(C(=O)NC2=O)c3ccccc3C(F)(F)F)c4cccnc14,7.85
COc1ccccc1C2=C(C(=O)NC2=O)c3cn(CCCNS(=O)(=O)C)c4ncccc34,7.85
OCCCn1cc(C2=C(C(=O)NC2=O)c3cccs3)c4cccnc14,7.51
OCCCn1cc(C2=C(C(=O)NC2=O)c3ccc(F)cc3Cl)c4cccnc14,8.22
COc1ccccc1C2=C(C(=O)NC2=O)c3cn(CCCN)c4ncccc34,7.43
CCn1cc(C2=C(C(=O)NC2=O)c3cn(CCCO)c4ncccc34)c5cccnc15,7.19
COc1ccccc1C2=C(C(=O)NC2=O)c3cn(CCCNC=O)c4ncccc34,8.1
CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3ccccc3Cl)c4cccnc14,7.82
COc1ccccc1C2=C(C(=O)NC2=O)c3cn(CCCNS(=O)(=O)N)c4ncccc34,7.7
OCCCn1cc(C2=C(C(=O)NC2=O)c3ncc(cc3Cl)C(F)(F)F)c4cccnc14,6.21
OCCCn1cc(C2=C(C(=O)NC2=O)c3ccccc3Cl)c4cccnc14,8.0
COCCCn1cc(C2=C(C(=O)NC2=O)c3ccccc3O)c4cccnc14,6.41
OCCCn1cc(C2=C(C(=O)NC2=O)c3ccccn3)c4cccnc14,6.32
OCCCn1cc(C2=C(C(=O)NC2=O)c3cccc4ccccc34)c5cccnc15,7.51
Cn1cc(C2=C(C(=O)NC2=O)c3ccc(Cl)cc3Cl)c4ccccc14,7.47
COc1ccccc1C2=C(C(=O)NC2=O)c3cn(CCCNC(=O)OC(C)(C)C)c4ncccc34,7.4
COc1cccc(n1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,7.4
COc1cccc(c1)n2ncc3c(N\N=C\c4cccc(F)c4)ncnc23,8.1
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(NC(=O)C)cc4)ncnc23,7.9
COc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,7.8
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(cc4)C(=O)NCCN(C)C)ncnc23,7.8
CCCNc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,5.4
CCCC(=O)Nc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,6.2
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(F)cc4)ncnc23,8.1
Cc1ccccc1n2ncc3c(N\N=C\c4ccncc4)ncnc23,6.8
CCN(CC)c1ccc(\C=N\Nc2ncnc3c2cnn3c4cccc(OC)c4)cc1,5.6
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(CN(C)C)cc4)ncnc23,8.3
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(cc4)C#N)ncnc23,7.8
COc1cccc(c1)n2nc(C(C)C)c3c(N\N=C\c4ccncc4)ncnc23,7.5
CCc1nn(c2cccc(OC)c2)c3ncnc(N\N=C\c4ccncc4)c13,7.9
CCCc1nn(c2cccc(OC)c2)c3ncnc(N\N=C\c4ccncc4)c13,8.0
COc1ccccc1n2ncc3c(N\N=C\c4ccncc4)ncnc23,5.6
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(cc4)S(=O)(=O)C)ncnc23,8.6
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(NC(=O)CCN(C)C)cc4)ncnc23,8.3
N(\N=C\c1ccncc1)c2ncnc3c2cnn3c4ccncc4,8.5
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(NS(=O)(=O)C)cc4)ncnc23,7.8
COc1cc(\C=N\Nc2ncnc3c2cnn3C(C)C)ccc1O,5.6
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(OCC=C)cc4)ncnc23,6.8
Cc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,6.8
COc1ccc(cc1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,6.0
CCOc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,7.0
COc1cccc(c1)n2ncc3c(N\N=C\c4ccccc4F)ncnc23,6.9
CC(=O)Nc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,6.8
Brc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,6.6
COc1ccc(\C=N\Nc2ncnc3c2cnn3c4cccc(OC)c4)cc1,7.5
COc1cccc(c1)n2nc(C)c3c(N\N=C\c4ccncc4)ncnc23,8.0
N(\N=C\c1ccncc1)c2ncnc3c2cnn3c4ccccc4,7.0
COc1cccc(c1)n2ncc3c(N\N=C\c4cccc(N)c4)ncnc23,8.0
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(F)c(F)c4)ncnc23,7.8
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(OCCN(C)C)cc4)ncnc23,8.2
N(\N=C\c1ccncc1)c2ncnc3c2cnn3c4nccs4,7.4
C(Nc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23)C5CC5,5.7
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(O)cc4)ncnc23,7.9
COc1cc(\C=N\Nc2ncnc3[nH]ncc23)ccc1O,5.5
N(\N=C\c1ccncc1)c2ncnc3c2cnn3c4cccnc4,7.5
CCNCc1ccc(\C=N\Nc2ncnc3c2cnn3c4cccc(OC)c4)cc1,8.4
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(cc4)S(=O)(=O)NCCN(C)C)ncnc23,8.0
COc1cccc(c1)n2nc(C)c3c(N\N=C(/C)\c4ccncc4)ncnc23,5.2
COc1cccc(c1)n2ncc3c(N\N=C\c4ccccc4)ncnc23,8.0
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(cc4)C(=O)O)ncnc23,7.5
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(OCc5ccc(F)cc5)cc4)ncnc23,5.6
COc1cc(\C=N\Nc2ncnc3c2cnn3c4ccccc4)ccc1O,7.0
FC(F)(F)Oc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,6.5
COc1cccc(c1)n2ncc3c(N\N=C\c4cccc(c4)S(=O)(=O)C)ncnc23,8.4
N(\N=C\c1ccncc1)c2ncnc3c2cnn3c4ccccn4,5.9
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(cc4)C(=O)NCCS(=O)(=O)C)ncnc23,8.1
COc1cccc(c1)n2ncc3c(N\N=C(/C)\c4ccncc4)ncnc23,7.2
Fc1cccc(c1)n2ncc3c(N\N=C\c4ccncc4)ncnc23,6.5
COc1cccc(\C=N\Nc2ncnc3c2cnn3c4cccc(OC)c4)c1,7.6
COc1cccc(c1)n2ncc3c(N\N=C\c4ccc(N)cc4)ncnc23,8.6
Cc1nc(N)sc1c2ccnc(Nc3cccc(c3)[N+](=O)[O-])n2,7.7
CCCc1c([nH]c2nccnc12)c3ccc(OC)cc3,6.4
COc1ccc(cc1)c2[nH]c3nccnc3c2C,6.34
CCCCc1c([nH]c2nccnc12)c3ccc(O)cc3,6.19
Clc1ccc(cc1)C2(CC2)c3cc4[nH]ccnc4n3,6.0
o1cccc1c2cc3[nH]ccnc3n2,4.82
Clc1ccc(cc1)c2[nH]c3nccnc3c2Cc4ccccc4,5.17
C1COC(O1)c2ccc(cc2)c3cc4[nH]ccnc4n3,4.7
