CC(=O)Nc1cc(c2ccccc2)c(s1)c3nnc4S\C(=C/c5ccccc5)\C(=Nn34)c6cc(F)c(Cl)cc6Cl CC(=O)Nc1cc(c2ccccc2)c(s1)c3nnc4SC(=C(Nn34)c5ccccc5)c6ccccc6
Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)c(c3O2)c4c(O)cc(O)c5C(=O)C=C(Oc45)c6ccc(O)cc6 CN1CCC[C@H]1c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4
Nc1nc(Nc2ccccn2)sc1C(=O)c3ccc(F)cc3 Nc1nc(Nc2ccncc2)sc1C(=O)c3cccc(F)c3
COc1ccc2N=C(C(=O)c2c1)c3[nH]c4ccc(OC)cc4c3O COc1ccc2N=C(C(=O)c2c1)c3c(O)[nH]c4ccc(OC)cc34
Nc1nccc(n1)c2c[nH]c3cc(Br)cc(O)c23 CCCOc1ccnc2[nH]cc(c3ccnc(N)n3)c12
CO[C@@H]1CCN2[C@@H](C1)c3c(NC(=O)Nc4cccc(C)n4)cccc3C2=O CO[C@@H]1CCN2[C@@H](C1)c3c(NC(=O)Nc4cc(C)ccn4)cccc3C2=O
COC(=O)\C=C\c1ccc2NC(=O)Cc3c([nH]c4ccc(cc34)C(F)(F)F)c2c1 O=C1Cc2c([nH]c3ccc(cc23)C#N)c4cc(ccc4N1)C#N
COc1ccc(CNc2nc(nc3c2ncn3C(C)C)C(=O)NCC(C)C)cc1 CC(C)n1cnc2c(NCc3ccc(cc3)c4ccccn4)nc(NC[C@@H](O)CO)nc12
CC(C)CC(=O)Nc1nc(NCc2ccc(Cl)cc2)c3ncn(C(C)C)c3n1 CC[C@H](Nc1nc(NCc2cnc(C)cc2C)c3ncn(C(C)C)c3n1)[C@@H](C)O
CC(=O)O\N=C/1\C(=C/2\C(=O)Nc3cc(Br)ccc23)\Nc4ccccc14 CC(=O)Nc1ccc2NC(=O)\C(=C\3/Nc4ccc(Br)cc4C3=O)\c2c1
Nc1nc(NC2CCNCC2)sc1C(=O)c3cccc(F)c3 COc1cccc(c1)C(=O)c2sc(Nc3ccncc3)nc2N
CC(C)n1cnc2c(Nc3ccccn3)nc(Cl)nc12 CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c3ncn(C(C)C)c3n1
CC[C@@H](CO)Nc1ccc2ncc(c3ccc4[nH]ccc4c3)n2n1 CC[C@@H](CO)Nc1ccc2ncc(c3cccc(NC(=O)C)c3)n2n1
COc1ccc(CNc2nc(NC(=O)CC(C)C)nc3c2ncn3C(C)C)cc1 CC[C@@H](Nc1nc(NCc2cc(Cl)ccc2O)c3ncn(C(C)C)c3n1)C(C)O
CC[C@@H](CO)Nc1nc(Nc2ccncn2)c3ncn(C(C)C)c3n1 CCC[C@H](O)Nc1nc(Nc2cccc(c2)c3cncnc3)c4ncn(C(C)C)c4n1
CC(=O)Nn1c(Cc2csc(NC(=O)c3ccccc3)n2)nnc1SCc4nnc(S)n4N NNC(=O)CSc1nnc(Cc2csc(NC(=O)CCl)n2)n1NC(=O)c3ccc(Cl)cc3
O=C(Nc1cccc2C(=O)N3CCCCC3c12)Nc4nc5ccccc5s4 Fc1cccc(NC(=O)Nc2cccc3C(=O)N4CCCCC4c23)n1
CCOC(=N)c1nc2ccc3N=CN(C(C)C)C(=O)c3c2s1 CCN1C=Nc2ccc3nc(sc3c2C1=O)C(=N)OCCc4ccccc4
CC[C@H](CO)Nc1nc(Nc2ccncn2)c3ncn(C(C)C)c3n1 CC[C@@H](CO)Nc1nc(Nc2ccnnc2)c3ncn(C(C)C)c3n1
Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)c(c3O2)c4c(O)cc(O)c5C(=O)C=C(Oc45)c6ccc(O)cc6 CN1CCC[C@@H]1c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4
Brc1ccc2[nH]c3c(CC(=O)Nc4ccccc34)c2c1 FC(F)(F)c1ccc2[nH]c3c(CC(=O)Nc4ccc(CCC#N)cc34)c2c1
OC#CCc1ccc2NC(=O)Cc3c([nH]c4ccc(cc34)C(F)(F)F)c2c1 FC(F)(F)c1ccc2[nH]c3c(CC(=O)Nc4ccncc34)c2c1
CNC1=N\C(=C/c2ccc3OCOc3c2)\C(=O)N1C O=C1NC(=N/C/1=C\c2ccc3OCOc3c2)Nc4ccccc4
