smiles,property
CN1C(=O)C(=Cc2cnc(NCCO)nc12)c3c(Cl)cccc3Cl,5.78
CN1C(=O)C(=Cc2cnc(Nc3cccnc3)nc12)c4c(Cl)cccc4Cl,6.82
CN1C(=O)C(=Cc2cnc(N)nc12)c3c(Cl)cccc3Cl,5.89
CCN(CC)CCOc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1,7.52
CCN1C(=O)C(=Cc2cnc(Nc3ccncc3)nc12)c4c(Cl)cccc4Cl,6.96
CCN(CC)CCCNc1ncc2C=C(C(=O)N(C)c2n1)c3c(Cl)cccc3Cl,4.85
CN1CCN(CCCCNc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)CC1,6.5
CNc1ncc2C=C(C(=O)N(C)c2n1)c3c(Cl)cccc3Cl,5.6
CN1C(=O)C(=Cc2cnc(NCc3ccccn3)nc12)c4c(Cl)cccc4Cl,5.49
CN1C(=O)C(=Cc2cnc(Nc3ccc(Cl)cc3)nc12)c4c(Cl)cccc4Cl,5.52
[I-].CC[N+](C)(CC)CCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,7.4
CN1C(=O)C(=Cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc12)c4c(Cl)cccc4Cl,6.96
CN1C(=O)C(=Cc2cnc(Nc3ccncc3)nc12)c4c(Cl)cccc4Cl,6.72
CCN(CC)CCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,8.3
CN1C(=O)C(=Cc2cnc(Nc3ccccc3)nc12)c4c(Cl)cccc4Cl,6.34
CN1CCN(CCCNc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)CC1,6.42
CN1C(=O)C(=Cc2cnc(NCCc3ccccn3)nc12)c4c(Cl)cccc4Cl,5.18
CCNc1ncc2C=C(C(=O)N(C)c2n1)c3c(Cl)cccc3Cl,6.02
CN1C(=O)C(=Cc2cnc(Nc3ccc(C)cc3)nc12)c4c(Cl)cccc4Cl,6.04
CCOC(=O)c1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,4.47
CN(C)CCCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,7.48
CCCCNc1ncc2C=C(C(=O)N(C)c2n1)c3c(Cl)cccc3Cl,5.35
CN1C(=O)C(=Cc2cnc(NCCCCN3CCOCC3)cc12)c4c(Cl)cccc4Cl,6.64
CNc1cc2N(C)C(=O)C(=Cc2cn1)c3c(Cl)cccc3Cl,6.68
CCN(CC)CCCNc1cc2N(C)C(=O)C(=Cc2cn1)c3c(Cl)cccc3Cl,6.82
CN1C(=O)C(=Cc2cnc(N)cc12)c3c(Cl)cccc3Cl,6.42
COc1ccc(Nc2cc3N(C)C(=O)C(=Cc3cn2)c4c(Cl)cccc4Cl)cc1,5.66
CCN(CC)C(=O)c1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,6.75
CN1C(=O)C(=Cc2cnc(Nc3ccncc3)cc12)c4c(Cl)cccc4Cl,5.46
CN1C(=O)C(=Cc2cnc(Nc3ccccc3)cc12)c4c(Cl)cccc4Cl,5.66
CN1CCN(CCOc2ccc(Nc3cc4N(C)C(=O)C(=Cc4cn3)c5c(Cl)cccc5Cl)cc2)CC1,6.68
CN1CCN(CCCOc2ccc(Nc3cc4N(C)C(=O)C(=Cc4cn3)c5c(Cl)cccc5Cl)cc2)CC1,6.92
CN1C(=O)C(=Cc2cnc(Nc3ccc(cc3)N4CCOCC4)cc12)c5c(Cl)cccc5Cl,5.06
CCN(CC)CCCCNc1cc2nc(O)c(cc2cn1)c3c(Cl)cccc3Cl,6.77
CN1CCN(CCCNc2cc3N(C)C(=O)C(=Cc3cn2)c4c(Cl)cccc4Cl)CC1,6.77
CCN(CC)CCCCNc1cc2N(C)C(=O)C(=Cc2cn1)c3c(Cl)cccc3Cl,7.1
CN1C(=O)C(=Cc2cnc(NCCCn3ccnc3)cc12)c4c(Cl)cccc4Cl,6.68
CN1CCN(CC1)c2ccc(Nc3cc4N(C)C(=O)C(=Cc4cn3)c5c(Cl)cccc5Cl)cc2,7.38
CN1CCN(CCCCCNc2cc3N(C)C(=O)C(=Cc3cn2)c4c(Cl)cccc4Cl)CC1,6.96
CN1CCN(CCCCNc2cc3N(C)C(=O)C(=Cc3cn2)c4c(Cl)cccc4Cl)CC1,6.77
CN1CCN(CCCNc2cc3nc(O)c(cc3cn2)c4c(Cl)cccc4Cl)CC1,7.14
CCN(CC)C(=O)c1ccc(Nc2cc3N(C)C(=O)C(=Cc3cn2)c4c(Cl)cccc4Cl)cc1,5.72
CCN(CC)CCCOc1ccc(Nc2cc3nc(O)c(cc3cn2)c4c(Cl)cccc4Cl)cc1,6.36
CCN(CC)CCOc1ccc(Nc2cc3N(C)C(=O)C(=Cc3cn2)c4c(Cl)cccc4Cl)cc1,6.89
CCN(CC)CCCOc1ccc(Nc2cc3N(C)C(=O)C(=Cc3cn2)c4c(Cl)cccc4Cl)cc1,6.6
CCN(CC)CCCCCNc1cc2N(C)C(=O)C(=Cc2cn1)c3c(Cl)cccc3Cl,7.1
CN1C(=O)C(=Cc2cnc(NCCCN3CCOCC3)cc12)c4c(Cl)cccc4Cl,6.24
CN1C(=O)C(=Cc2cnc(Nc3ccc(cc3)N4CCOCC4)nc12)c5c(Cl)cccc5Cl,7.0
CCN(CC)CCNc1cc2N(C)C(=O)C(=Cc2cn1)c3c(Cl)cccc3Cl,4.48
Oc1cc2ncn(c3ccccc3)c2cc1O,4.96
CC(C)Oc1ccc2c(c1)ncn2c3ccccc3,4.3
OCCCCOc1ccc2c(c1)ncn2c3ccccc3,4.6
C1Oc2cc3ncn(c4ccccc4)c3cc2O1,4.57
CN(C)CCOc1ccc2c(c1)ncn2c3ccccc3,4.35
COc1ccc2c(c1)ncn2c3ccccc3,4.66
Cl.COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC4CCNCC4,5.3
CN(C)CCCOc1ccc2c(c1)ncn2c3ccccc3,5.39
Oc1ccc2c(c1)ncn2c3ccccc3,5.19
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c4ccncc4,5.8
COc1cc2c(Nc3ccc(cc3F)C#N)ncnc2cc1OC\C=C\CN4CCCC4,4.72
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC4CCN(C)CC4,4.4
C=CCOc1ccc2c(c1)ncn2c3ccccc3,4.46
COc1cc2ncn(c3ccccc3)c2cc1CO,4.96
COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC4CCNCC4,4.91
COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC4CCN(C)CC4,4.87
COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC4CCN(C)CC4,5.77
COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC4CCNCC4,5.6
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC[C@@H]4CCCN(C)C4,5.75
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN4CCOCC4,5.17
C(CCN1CCOCC1)COc2ccc3c(c2)ncn3c4ccccc4,4.92
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,5.7
CCCCOc1ccc2c(c1)ncn2c3ccccc3,4.3
C(Oc1ccc2c(c1)ncn2c3ccccc3)C4CO4,4.75
C(COc1ccc2c(c1)ncn2c3ccccc3)CN4CCOCC4,5.01
OCC(O)COc1ccc2c(c1)ncn2c3ccccc3,4.82
Cl.COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC\C=C\CN4CCCC4,5.72
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC4CCN(C)CC4,5.68
Cl.COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC4CCN(C)CC4,5.37
C(CSc1ccc2c(c1)ncn2c3ccccc3)CN4CCOCC4,4.62
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@@H]4CCCN(C)C4,5.75
COc1ccc2c(c1)ncn2c3ccc(N)cc3,4.75
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN4CCN(C)CC4,5.1
Cl.COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN4CCCC4,5.38
CN(C)CCCCOc1ccc2c(c1)ncn2c3ccccc3,5.17
Cl.COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN4CCN(C)CC4,5.7
COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,5.82
Cl.COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,5.44
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]4CCCN(C)C4,5.3
COc1cc2ncn(c3ccccc3)c2cc1C=O,4.6
CCCOc1ccc2c(c1)ncn2c3ccccc3,4.46
Cl.COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN4CCN(C)CC4,5.68
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN4CCOCC4,4.72
C(CN1CCOCC1)Oc2ccc3c(c2)ncn3c4ccccc4,4.55
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC4CCNCC4,5.57
COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC4CCNCC4,5.72
Cl.COc1cc2c(Nc3cc(O)c(C)cc3F)ncnc2cc1OCC4CCN(C)CC4,5.82
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC4CCN(C)CC4,5.39
NCCOc1ccc2c(c1)ncn2c3ccccc3,4.57
OC(=O)c1cc2c(cc1O)ncn2c3ccccc3,4.66
COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,4.57
Cl.COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC4CCN(C)CC4,6.05
Cl.COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC\C=C\CN4CCCC4,5.68
CSc1ccc2c(c1)ncn2c3ccccc3,4.57
COc1cc2ncn(c3ccccc3)c2cc1OC,4.6
Oc1ccc2c(ncn2c3ccccc3)c1O,5.72
COC(=O)c1cc2c(cc1OC)ncn2c3ccccc3,4.3
CC(C)(C)NC(=O)Nc1nc2cc(N)ncc2cc1c3c(Cl)cccc3Cl,6.92
Cc1cccc(C)c1c2cc3cnc(N)nc3nc2N,4.89
CN1CCN(CCCNc2ncc3cc(c(\N=C(\S)/Nc4ccccc4)nc3n2)c5c(Cl)cccc5Cl)CC1,6.5
COc1cc(OC)cc(c1)c2cc3cnc(NC(=O)C(F)(F)F)cc3nc2N,7.21
CN1CCN(CCCNc2ncc3cc(c(NC(=O)Nc4ccc(Br)cc4)nc3n2)c5c(Cl)cccc5Cl)CC1,6.96
CC\N=C(/N)\Nc1nc2nc(NCCCN(CC)CC)ncc2cc1c3c(Cl)cccc3Cl,5.57
CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1c3c(Br)cccc3Br,6.54
